title,tags,genre,actor,language,rating,image_file
Breaking Bad,drug cartel teacher crime family meth,crime,bryan cranston,english,9.5,breaking_bad.jpg
Stranger Things,sci-fi kids mystery upside down horror,sci-fi,millie bobby brown,english,8.7,stranger_things.jpg
The Office (US),workplace comedy humor documentary cringe boss,comedy,steve carell,english,9.0,the_office_us.jpg
Game of Thrones,fantasy war politics dragons medieval betrayal,fantasy,emilia clarke,english,9.3,game_of_thrones.jpg
Sherlock,detective investigation crime mystery modern,mystery,benedict cumberbatch,english,9.1,sherlock.jpg
House of Cards,politics power betrayal white house drama,drama,kevin spacey,english,8.7,house_of_cards.jpg
The Crown,royal family history biography queen england,biography,claire foy,english,8.6,the_crown.jpg
The Witcher,monster hunter magic fantasy medieval war,action,henry cavill,english,8.2,the_witcher.jpg
Peaky Blinders,gangster family crime england 1920s,crime,cillian murphy,english,8.8,peaky_blinders.jpg
The Mandalorian,bounty hunter space star wars adventure,sci-fi,pedro pascal,english,8.7,the_mandalorian.jpg
Friends,friendship love humor new york city,comedy,jennifer aniston,english,8.9,friends.jpg
Black Mirror,dystopian tech sci-fi thriller anthology,thriller,bryce dallas howard,english,8.8,black_mirror.jpg
Vikings,historical war family betrayal exploration,historical,travis fimmel,english,8.5,vikings.jpg
The Boys,superheroes dark comedy satire action,action,karl urban,english,8.7,the_boys.jpg
Ozark,money laundering family crime thriller drugs,thriller,jason bateman,english,8.5,ozark.jpg
Westworld,ai robots sci-fi thriller western park,sci-fi,evan rachel wood,english,8.6,westworld.jpg
The Umbrella Academy,superheroes family drama time travel,drama,elliot page,english,8.0,the_umbrella_academy.jpg
Mindhunter,serial killer psychology investigation fbi,crime,jonathan groff,english,8.6,mindhunter.jpg
Narcos,drug cartel history crime colombia,biography,wagner moura,english,8.8,narcos.jpg
Suits,law firm lawyer humor drama romance,drama,gabriel macht,english,8.5,suits.jpg
Money Heist,heist money robbery police mastermind spain,crime,alvaro morte,spanish,8.3,money_heist.jpg
Lupin,gentleman thief disguise heist france mystery,mystery,omar sy,french,7.6,lupin.jpg
Dark,time travel mystery family germany thriller,sci-fi,louis hofmann,german,8.8,dark.jpg
Elite,teen drama thriller murder betrayal school spain,drama,itzan escamilla,spanish,7.5,elite.jpg
Marianne,horror demon small town france terrifying,horror,victoire du bois,french,7.4,marianne.jpg
Babylon Berlin,crime drama 1920s weimar police germany politics,historical,volker bruch,german,8.4,babylon_berlin.jpg
Call My Agent!,agency actors celebrity comedy humor france,comedy,camille cottin,french,8.3,call_my_agent.jpg
The Rain,virus apocalypse survival scandinavia thriller denmark,sci-fi,alba august,danish,6.4,the_rain.jpg
Gomorrah,mafia crime family italy violence,crime,marco d'amore,italian,8.6,gomorrah.jpg
Fauda,israel palestine conflict special ops terrorism,action,lior raz,hebrew,8.2,fauda.jpg
Squid Game,survival game thriller debt korea social commentary,thriller,lee jung-jae,korean,8.0,squid_game.jpg
Borgen,politics drama woman prime minister denmark,drama,sidse babett knudsen,danish,8.5,borgen.jpg
Ragnarok,norse mythology teen drama superpowers norway,fantasy,david stakston,norwegian,7.5,ragnarok.jpg
Kingdom,zombie historical korea plague period drama,horror,ju ji-hoon,korean,8.3,kingdom.jpg
The Bridge,crime investigation murder sweden denmark mystery,mystery,sofia helin,swedish,8.6,the_bridge.jpg
Midnight Diner: Tokyo Stories,food diner night life japan heartwarming anthology,drama,kaoru kobayashi,japanese,8.4,midnight_diner_tokyo_stories.jpg
The Protector,fantasy hero ancient relic turkey mystery,action,cagatay ulusoy,turkish,6.7,the_protector.jpg
Suburra: Blood on Rome,mafia crime politics church italy,crime,alessandro borghi,italian,7.9,suburra_blood_on_rome.jpg
Barbarians,historical war tribes roman empire germany,historical,jeanne goursaud,german,7.2,barbarians.jpg
Money Heist: Korea – Joint Economic Area,heist crime drama remake korea,crime,yoo ji-tae,korean,6.2,money_heist_korea.jpg
